target,source,freeze,fold,AUC
breast,ImageNet,freezeFalse,fold1,0.8982873851294905
breast,RadImageNet,freezeFalse,fold1,0.8811612364243944
breast,ImageNet,freezeFalse,fold2,0.9565580618212197
breast,RadImageNet,freezeFalse,fold2,0.8185045948203843
breast,ImageNet,freezeFalse,fold3,0.9260651629072683
breast,RadImageNet,freezeFalse,fold3,0.9375522138680034
breast,ImageNet,freezeFalse,fold4,0.8913951545530493
breast,RadImageNet,freezeFalse,fold4,0.8857560568086884
breast,ImageNet,freezeFalse,fold5,0.8546365914786967
breast,RadImageNet,freezeFalse,fold5,0.889515455304929
breast,ImageNet,freezeTrue,fold1,0.8619465329991646
breast,RadImageNet,freezeTrue,fold1,0.8698830409356725
breast,ImageNet,freezeTrue,fold2,0.9179197994987469
breast,RadImageNet,freezeTrue,fold2,0.5649540517961571
breast,ImageNet,freezeTrue,fold3,0.9269005847953216
breast,RadImageNet,freezeTrue,fold3,0.9479949874686717
breast,ImageNet,freezeTrue,fold4,0.9147869674185464
breast,RadImageNet,freezeTrue,fold4,0.42293233082706766
breast,ImageNet,freezeTrue,fold5,0.8686299081035923
breast,RadImageNet,freezeTrue,fold5,0.8128654970760233
thyroid,ImageNet,freezeFalse,fold1,0.634192037470726
thyroid,RadImageNet,freezeFalse,fold1,0.45011709601873534
thyroid,ImageNet,freezeFalse,fold2,0.5637325637325636
thyroid,RadImageNet,freezeFalse,fold2,0.46464646464646464
thyroid,ImageNet,freezeFalse,fold3,0.532783326096396
thyroid,RadImageNet,freezeFalse,fold3,0.5340859748154582
thyroid,ImageNet,freezeFalse,fold4,0.48736141906873615
thyroid,RadImageNet,freezeFalse,fold4,0.526829268292683
thyroid,ImageNet,freezeFalse,fold5,0.39675925925925926
thyroid,RadImageNet,freezeFalse,fold5,0.5342592592592592
thyroid,ImageNet,freezeTrue,fold1,0.6098360655737706
thyroid,RadImageNet,freezeTrue,fold1,0.423887587822014
thyroid,ImageNet,freezeTrue,fold2,0.5738335738335738
thyroid,RadImageNet,freezeTrue,fold2,0.44733044733044736
thyroid,ImageNet,freezeTrue,fold3,0.6417716022579244
thyroid,RadImageNet,freezeTrue,fold3,0.5401650021710811
thyroid,ImageNet,freezeTrue,fold4,0.5924611973392462
thyroid,RadImageNet,freezeTrue,fold4,0.4953436807095344
thyroid,ImageNet,freezeTrue,fold5,0.5060185185185184
thyroid,RadImageNet,freezeTrue,fold5,0.5629629629629629
knee,ImageNet,freezeFalse,fold1,0.9068942808502252
knee,RadImageNet,freezeFalse,fold1,0.7884502312908906
knee,ImageNet,freezeFalse,fold2,0.9031563701970436
knee,RadImageNet,freezeFalse,fold2,0.881449994147968
knee,ImageNet,freezeFalse,fold3,0.9308215659108025
knee,RadImageNet,freezeFalse,fold3,0.9266475970444394
knee,ImageNet,freezeFalse,fold4,0.9165799382922439
knee,RadImageNet,freezeFalse,fold4,0.9480884100373621
knee,ImageNet,freezeFalse,fold5,0.917485084658376
knee,RadImageNet,freezeFalse,fold5,0.9202278339983475
knee,ImageNet,freezeTrue,fold1,0.8964094242083616
knee,RadImageNet,freezeTrue,fold1,0.6490868746261302
knee,ImageNet,freezeTrue,fold2,0.8356466631153369
knee,RadImageNet,freezeTrue,fold2,0.5630553182912666
knee,ImageNet,freezeTrue,fold3,0.8985894945002592
knee,RadImageNet,freezeTrue,fold3,0.5972727583688566
knee,ImageNet,freezeTrue,fold4,0.9101923479382912
knee,RadImageNet,freezeTrue,fold4,0.6867340809248348
knee,ImageNet,freezeTrue,fold5,0.9105172931752636
knee,RadImageNet,freezeTrue,fold5,0.694659257645086
mammograms,ImageNet,freezeFalse,fold1,0.6428911919653497
mammograms,RadImageNet,freezeFalse,fold1,0.46841534276297947
mammograms,ImageNet,freezeFalse,fold2,0.6432200559760829
mammograms,RadImageNet,freezeFalse,fold2,0.5089728706825265
mammograms,ImageNet,freezeFalse,fold3,0.5668759512937596
mammograms,RadImageNet,freezeFalse,fold3,0.6797242075309378
mammograms,ImageNet,freezeFalse,fold4,0.6338534048431661
mammograms,RadImageNet,freezeFalse,fold4,0.7249065496505769
mammograms,ImageNet,freezeFalse,fold5,0.6849318415009527
mammograms,RadImageNet,freezeFalse,fold5,0.7173010211560071
mammograms,ImageNet,freezeTrue,fold1,0.6876011933625373
mammograms,RadImageNet,freezeTrue,fold1,0.6707938490873078
mammograms,ImageNet,freezeTrue,fold2,0.6873330258889383
mammograms,RadImageNet,freezeTrue,fold2,0.5524656510400101
mammograms,ImageNet,freezeTrue,fold3,0.6577038250281252
mammograms,RadImageNet,freezeTrue,fold3,0.6892288730064192
mammograms,ImageNet,freezeTrue,fold4,0.7127823825776045
mammograms,RadImageNet,freezeTrue,fold4,0.7119128880221031
mammograms,ImageNet,freezeTrue,fold5,0.69230957150535
mammograms,RadImageNet,freezeTrue,fold5,0.6845002524388855
thyroid,random,freezeFalse,fold1,0.5831381733021076
thyroid,random,freezeFalse,fold2,0.5218855218855218
thyroid,random,freezeFalse,fold3,0.4854537559704733
thyroid,random,freezeFalse,fold4,0.4753880266075388
thyroid,random,freezeFalse,fold5,0.5805555555555555
breast,random,freezeFalse,fold1,0.49665831244778613
breast,random,freezeFalse,fold2,0.45238095238095233
breast,random,freezeFalse,fold3,0.39014202172096907
breast,random,freezeFalse,fold4,0.6422305764411028
breast,random,freezeFalse,fold5,0.577485380116959
chest,random,freezeFalse,fold1,0.8254319798855185
chest,random,freezeFalse,fold2,0.8205329153605017
chest,random,freezeFalse,fold3,0.8148146026654448
chest,random,freezeFalse,fold4,0.840593068576846
chest,random,freezeFalse,fold5,0.8225378231492362
knee,random,freezeFalse,fold1,0.7860586795154011
knee,random,freezeFalse,fold2,0.6944696686021766
knee,random,freezeFalse,fold3,0.585623573979022
knee,random,freezeFalse,fold4,0.5549752600716089
knee,random,freezeFalse,fold5,0.7930620324781016
mammograms,random,freezeFalse,fold1,0.4618321238072539
mammograms,random,freezeFalse,fold2,0.5497781629667324
mammograms,random,freezeFalse,fold3,0.4919801800013235
mammograms,random,freezeFalse,fold4,0.46377376889322286
mammograms,random,freezeFalse,fold5,0.5133304017849873
pcam-small,random,freezeFalse,fold1,0.6964325795409909
pcam-small,random,freezeFalse,fold2,0.6769294213850666
pcam-small,random,freezeFalse,fold3,0.8288688817736116
pcam-small,random,freezeFalse,fold4,0.6517354549576116
pcam-small,random,freezeFalse,fold5,0.8157702523240371
isic,random,freezeFalse,fold1,0.8509177413720039
isic,random,freezeFalse,fold2,0.8199941978109219
isic,random,freezeFalse,fold3,0.8427737456034541
isic,random,freezeFalse,fold4,0.8696527019208312
isic,random,freezeFalse,fold5,0.8142534582477404
