model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
RadImageNet,random,fold1,breast,0.5754814063171887,0.395464362149212,0.3771416023850285,0.28963436594358705,0.3390169081120099
RadImageNet,random,fold2,breast,0.5752404245169032,0.39700693279281885,0.3898198698170477,0.29631284657463386,0.34563816455870666
RadImageNet,random,fold3,breast,0.569001709787069,0.395186160719429,0.3902613972413122,0.294822003898703,0.33590062765989687
RadImageNet,random,fold4,breast,0.5687414925903818,0.39373579205497233,0.3834451858123068,0.2954163001065284,0.34580091381238426
RadImageNet,random,fold5,breast,0.5727573298029901,0.3859116813956015,0.38212666683334695,0.2930906262182769,0.34205721436018344
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold1,breast,0.9167257426461213,0.9378023223187786,0.8768925042454911,0.6947429469668351,0.4571054843499399
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold2,breast,0.9053621237795587,0.9033455031971916,0.8263047027956205,0.6002484616029111,0.35748274042524314
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold3,breast,0.9416625415018883,0.9540810885801252,0.909801364019075,0.7957754922199328,0.5894415426533566
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold4,breast,0.9104407662906638,0.9345594471170541,0.8786032628926403,0.6909985708042746,0.4593395477796934
breast-ImageNet-freezeFalse,breast-ImageNet-freezeTrue,fold5,breast,0.9569794725122532,0.9776080276049669,0.9517181535995644,0.854890447180677,0.6577450778878055
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold1,breast,0.9986596247092132,0.9922333629337186,0.9898436405761608,0.9592429984763662,0.8298990715338711
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold2,breast,0.78007789992165,0.4720168595663809,0.33661726552046867,0.18067083597683928,0.14408034809299006
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold3,breast,0.9990361885459791,0.9975660053242461,0.9946717486545591,0.9731688410612435,0.8746376366561691
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold4,breast,0.7344919244943334,0.4590080828546415,0.33881646204330407,0.19707847135666084,0.14642416447608858
breast-RadImageNet-freezeFalse,breast-RadImageNet-freezeTrue,fold5,breast,0.9991104546006533,0.9953348715641761,0.9912581507674642,0.9624687916500946,0.8444588031897124
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold1,breast,0.5616336959573184,0.36035410997073347,0.2728069716853766,0.19093398221586416,0.15943526048445097
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold2,breast,0.5397856484778687,0.3379769766002719,0.2444161638809747,0.1812864895715402,0.1278763996217233
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold3,breast,0.5721317334788834,0.3667426524330522,0.2720713721051943,0.19643038124465756,0.16504073255835908
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold4,breast,0.5424541404943213,0.33253380199641736,0.2404574379477281,0.1768007535460066,0.12741074599472962
breast-ImageNet-freezeTrue,breast-RadImageNet-freezeTrue,fold5,breast,0.5668086628414369,0.36542928270826075,0.27189226264028743,0.19055821668746908,0.16217540063821403
breast-ImageNet-freezeTrue,ImageNet,fold1,breast,0.9759821103726101,0.9850676523544312,0.96538505295546,0.9281776444493165,0.8311992392617451
breast-ImageNet-freezeTrue,ImageNet,fold2,breast,0.9706374531082455,0.9849653063967804,0.9678312235635455,0.9231687294337672,0.8317769256210189
breast-ImageNet-freezeTrue,ImageNet,fold3,breast,0.9914802175477423,0.9948713045038762,0.9876686466523512,0.9723321569401534,0.933149645982345
breast-ImageNet-freezeTrue,ImageNet,fold4,breast,0.9897294218289195,0.995255781418947,0.9889564462252862,0.9731608728820185,0.9332267026681762
breast-ImageNet-freezeTrue,ImageNet,fold5,breast,0.9557185918518283,0.9757578190353454,0.9428833585297541,0.8846687369488226,0.7379599275543729
breast-RadImageNet-freezeTrue,RadImageNet,fold1,breast,0.6861972562479992,0.38774941602739627,0.27762674446960656,0.21725426350062804,0.19569604803355198
breast-RadImageNet-freezeTrue,RadImageNet,fold2,breast,0.9469001989285374,0.5740933120955457,0.46537910972809254,0.4686796807192595,0.434724644013697
breast-RadImageNet-freezeTrue,RadImageNet,fold3,breast,0.69489216527728,0.3836479629938812,0.27986142689559496,0.2194314834880627,0.19806157335769925
breast-RadImageNet-freezeTrue,RadImageNet,fold4,breast,0.9427391999854938,0.5443168294834136,0.4552621488767776,0.451120204474864,0.39027863876931
breast-RadImageNet-freezeTrue,RadImageNet,fold5,breast,0.6975840584530406,0.3775935544181749,0.27444057667502864,0.21711827353705568,0.2002162436825296
