model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
random,random,fold5,mammograms,0.6291095332289416,0.4778998372757792,0.46299902785569236,0.4428565124163411,0.43238853622304435
ImageNet,random,fold1,mammograms,0.6200020944078621,0.43873079555800265,0.3637431741390335,0.2757521193419026,0.19217548664470407
ImageNet,random,fold2,mammograms,0.5915025814342028,0.42650934418424,0.36458649030596346,0.2745455969576695,0.19013602018662662
ImageNet,random,fold3,mammograms,0.6272192789328022,0.4354863527719468,0.36683532374434347,0.27703226389653896,0.19363678398283263
ImageNet,random,fold4,mammograms,0.6156008763450729,0.4277721216196328,0.36940247655221314,0.27240033245007433,0.19007752117794097
ImageNet,random,fold5,mammograms,0.6197635801961736,0.4236800466907886,0.36712763354999967,0.27596312239586746,0.18572190570594474
RadImageNet,random,fold1,mammograms,0.6069677217285838,0.5243317151202064,0.5103019835040185,0.34414355524448065,0.44607753209500184
RadImageNet,random,fold2,mammograms,0.5988742914104332,0.5065833596814726,0.5160965862384523,0.3463327849580959,0.44535382937514123
RadImageNet,random,fold3,mammograms,0.6060328945804196,0.5184506286409392,0.5132679649485501,0.3458830015672514,0.4438761325638949
RadImageNet,random,fold4,mammograms,0.610139792829338,0.5121417145299484,0.5263805772617327,0.3445670520929888,0.4850355106998501
RadImageNet,random,fold5,mammograms,0.6005613127955141,0.5197003334111325,0.521018162087943,0.34266657825953634,0.4731706253798006
mammograms-ImageNet-freezeFalse,mammograms-ImageNet-freezeTrue,fold1,mammograms,0.9908621100401879,0.975587725710383,0.9016378240934821,0.6992492650337134,0.45401665081704845
mammograms-ImageNet-freezeFalse,mammograms-ImageNet-freezeTrue,fold2,mammograms,0.9903034182592686,0.945753174615905,0.8117753943995684,0.6461474649912283,0.3924191343941966
mammograms-ImageNet-freezeFalse,mammograms-ImageNet-freezeTrue,fold3,mammograms,0.9804075104770634,0.9703772640995225,0.9013200905978745,0.7934927730741249,0.6175737785579833
mammograms-ImageNet-freezeFalse,mammograms-ImageNet-freezeTrue,fold4,mammograms,0.9864334953347118,0.9688421114171295,0.9117616179799211,0.7450715905497082,0.5304149503598372
mammograms-ImageNet-freezeFalse,mammograms-ImageNet-freezeTrue,fold5,mammograms,0.9872109977290359,0.9880785936697972,0.9520493433740921,0.8016315455881722,0.5528143675318182
mammograms-RadImageNet-freezeFalse,mammograms-RadImageNet-freezeTrue,fold1,mammograms,0.9919872884434694,0.780343230283149,0.669402092967389,0.4384543884082303,0.24460455896927846
mammograms-RadImageNet-freezeFalse,mammograms-RadImageNet-freezeTrue,fold2,mammograms,0.9974778815775013,0.8912121135746146,0.7944609063493289,0.5958838407604927,0.3580559961418989
mammograms-RadImageNet-freezeFalse,mammograms-RadImageNet-freezeTrue,fold3,mammograms,0.9995469911695677,0.9918560688456562,0.9620390958458996,0.8774661302369662,0.7097623264683002
mammograms-RadImageNet-freezeFalse,mammograms-RadImageNet-freezeTrue,fold4,mammograms,0.9994872251927202,0.9904914687602933,0.9730197420981428,0.8224818799971818,0.6886767012977467
mammograms-RadImageNet-freezeFalse,mammograms-RadImageNet-freezeTrue,fold5,mammograms,0.9996051527338669,0.9920192919457955,0.9780667603224478,0.8657701970458742,0.6979044599831438
mammograms-ImageNet-freezeTrue,mammograms-RadImageNet-freezeTrue,fold1,mammograms,0.6532876993257585,0.4670214596632142,0.3964527999347837,0.26839964325263976,0.169858379818069
mammograms-ImageNet-freezeTrue,mammograms-RadImageNet-freezeTrue,fold2,mammograms,0.6384215999217783,0.46672080620023426,0.3943216623028788,0.29076466318722394,0.16583292364374913
mammograms-ImageNet-freezeTrue,mammograms-RadImageNet-freezeTrue,fold3,mammograms,0.6493850776826953,0.4648374081730279,0.4045641888137134,0.27302438861844164,0.17347706023945939
mammograms-ImageNet-freezeTrue,mammograms-RadImageNet-freezeTrue,fold4,mammograms,0.6536547707867028,0.45893686689394464,0.39005250935498753,0.2663005132350163,0.16168182672970421
mammograms-ImageNet-freezeTrue,mammograms-RadImageNet-freezeTrue,fold5,mammograms,0.6340013981276508,0.46304565361089517,0.39744069770379165,0.26276764927913937,0.17035120780737759
mammograms-ImageNet-freezeTrue,ImageNet,fold1,mammograms,0.8970699136186406,0.7656805459408458,0.588513669429015,0.43696283494828503,0.2570177959544927
mammograms-ImageNet-freezeTrue,ImageNet,fold2,mammograms,0.9018298401026312,0.7600857416316059,0.582649751954653,0.43526201683269566,0.2523479980301975
mammograms-ImageNet-freezeTrue,ImageNet,fold3,mammograms,0.9232365386601069,0.8337062729228959,0.6788413040495319,0.5278246503388443,0.33037082111591726
mammograms-ImageNet-freezeTrue,ImageNet,fold4,mammograms,0.8918806692264839,0.773149532196865,0.5961096690481703,0.44180366135162197,0.2556721549640029
mammograms-ImageNet-freezeTrue,ImageNet,fold5,mammograms,0.8939313966554654,0.7694860322129331,0.5997952165271733,0.4458639618044257,0.2636713808172585
