model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
RadImageNet,random,fold3,thyroid,0.5421014042404921,0.455560304100669,0.4792106649503506,0.4065317913752116,0.5386844249960131
RadImageNet,random,fold4,thyroid,0.5452001466041498,0.4691390330336026,0.48079269819685233,0.41254100066356986,0.5389582184926389
RadImageNet,random,fold5,thyroid,0.5407313905445799,0.4506164671656955,0.48339616493752147,0.4146883327588512,0.5526963211775334
thyroid-ImageNet-freezeFalse,thyroid-ImageNet-freezeTrue,fold1,thyroid,0.8796070815137377,0.8835794141715386,0.7924847421959461,0.6149931052114137,0.34455475885663595
thyroid-ImageNet-freezeFalse,thyroid-ImageNet-freezeTrue,fold2,thyroid,0.9701087396048891,0.9816427261857203,0.9583560257956723,0.8992081612456134,0.7433722167474246
thyroid-ImageNet-freezeFalse,thyroid-ImageNet-freezeTrue,fold3,thyroid,0.9704626568802179,0.9806448787758949,0.9586335937451421,0.9094558377890998,0.7621255369915303
thyroid-ImageNet-freezeFalse,thyroid-ImageNet-freezeTrue,fold4,thyroid,0.9551018157162309,0.9741520530789618,0.9472113050703934,0.8681925804436583,0.6837607682496888
thyroid-ImageNet-freezeFalse,thyroid-ImageNet-freezeTrue,fold5,thyroid,0.9947312248840599,0.9961726578146906,0.99093292509156,0.9706771306252596,0.9248477667738676
thyroid-RadImageNet-freezeFalse,thyroid-RadImageNet-freezeTrue,fold1,thyroid,0.985227366626517,0.9105703125670915,0.8620370490079985,0.5832958834872323,0.4049610238004219
thyroid-RadImageNet-freezeFalse,thyroid-RadImageNet-freezeTrue,fold2,thyroid,0.9999758107437975,0.9998039502741284,0.9979507121817528,0.9594539424080972,0.9515006671799426
thyroid-RadImageNet-freezeFalse,thyroid-RadImageNet-freezeTrue,fold3,thyroid,0.9824468692168853,0.9092904529124854,0.8616032071027122,0.5297863661229034,0.3648871184357173
thyroid-RadImageNet-freezeFalse,thyroid-RadImageNet-freezeTrue,fold4,thyroid,0.9830595385051473,0.9111618120532675,0.8597736884133808,0.563503498442101,0.39724388673333355
thyroid-RadImageNet-freezeFalse,thyroid-RadImageNet-freezeTrue,fold5,thyroid,0.9858077734653501,0.9249647303364258,0.8516309781637357,0.5266332873413628,0.3516092959330511
thyroid-ImageNet-freezeTrue,thyroid-RadImageNet-freezeTrue,fold1,thyroid,0.5718801312620106,0.375426446905007,0.2918539816438344,0.25339412324220667,0.18992074662876016
thyroid-ImageNet-freezeTrue,thyroid-RadImageNet-freezeTrue,fold2,thyroid,0.5723958912354369,0.3722817362816063,0.3033376836272913,0.23448595066068229,0.18937163430365253
thyroid-ImageNet-freezeTrue,thyroid-RadImageNet-freezeTrue,fold3,thyroid,0.5730115342749227,0.3777403408672625,0.2975977402663715,0.2341282833729769,0.18643218041323512
thyroid-ImageNet-freezeTrue,thyroid-RadImageNet-freezeTrue,fold4,thyroid,0.5649505204004993,0.3655347187055618,0.29101628340819363,0.25321965369903354,0.20476656341236393
thyroid-ImageNet-freezeTrue,thyroid-RadImageNet-freezeTrue,fold5,thyroid,0.5762877729370512,0.372917050523007,0.2990846329603499,0.25979290608863603,0.19481231584072306
thyroid-ImageNet-freezeTrue,ImageNet,fold1,thyroid,0.9944059460174038,0.9956691939885969,0.9901821709459103,0.972064871548685,0.9019775688999875
thyroid-ImageNet-freezeTrue,ImageNet,fold2,thyroid,0.9940456289759455,0.9955375711228134,0.9901845078128885,0.9724834444098818,0.9082044705435497
thyroid-ImageNet-freezeTrue,ImageNet,fold3,thyroid,0.9944186374655221,0.9955459917666459,0.9892269821441356,0.9709538995983467,0.9068461990162078
thyroid-ImageNet-freezeTrue,ImageNet,fold4,thyroid,0.9373233591668793,0.9575263496983821,0.9140990617860677,0.7997285943652773,0.5618952424879561
thyroid-ImageNet-freezeTrue,ImageNet,fold5,thyroid,0.9945060451454906,0.9956355037625896,0.9897931456380465,0.969720564801108,0.900795350521246
thyroid-RadImageNet-freezeTrue,RadImageNet,fold1,thyroid,0.8118683550895334,0.5743547732936367,0.50430384618005,0.4694339766424763,0.4196991619193362
thyroid-RadImageNet-freezeTrue,RadImageNet,fold2,thyroid,0.7917112473161702,0.561787214099214,0.472352477394992,0.3704173658101772,0.3134216313190117
thyroid-RadImageNet-freezeTrue,RadImageNet,fold3,thyroid,0.7955730197028437,0.5457692764810252,0.4732549563606505,0.3530797176865899,0.2906340568224111
thyroid-RadImageNet-freezeTrue,RadImageNet,fold4,thyroid,0.8067697102384507,0.5744587965083826,0.5020779900830927,0.473215861860594,0.4317139622769505
thyroid-RadImageNet-freezeTrue,RadImageNet,fold5,thyroid,0.8182896157792708,0.5814734097922898,0.506737505319005,0.4859325514354641,0.44962533226324986
